ideology,State,Name,Twitter Handle
0.31858399600000004,CA-36,Raul Ruiz,@CongressmanRuiz
0.319939717,CA-20,Jimmy Panetta,@RepJimmyPanetta
0.320004738,PA-18,Michael Doyle,@USRepMikeDoyle
0.32119135,MD-06,David Trone,@RepDavidTrone
0.321559667,AL-07,Terri A. Sewell,@RepTerriSewell
0.32509486,CA-46,J. Luis Correa,@RepLouCorrea
0.326890584,CO-06,Jason Crow,@RepJasonCrow
0.330825913,CO-07,Ed Perlmutter,@RepPerlmutter
0.331129121,IN-01,Peter J. Visclosky,@RepVisclosky
0.332585061,CT-02,Joe Courtney,@RepJoeCourtney
0.33668216799999995,CA-48,Harley Rouda,@RepHarley
0.337752317,IL-10,Bradley Scott Schneider,@RepSchneider
0.33931668299999995,TN-05,Jim Cooper,@repjimcooper
0.34044602399999996,NJ-01,Donald Norcross,@DonaldNorcross
0.34071578700000005,NH-01,Chris Pappas,@RepChrisPappas
0.342612409,IL-17,Cheri Bustos,@RepCheri
0.34297034600000004,CA-12,Nancy Pelosi,@SpeakerPelosi
0.34568512700000004,AZ-02,Ann Kirkpatrick,@RepKirkpatrick
0.348809679,NY-03,Thomas R.. Suozzi,@RepTomSuozzi
0.35014126799999995,CA-52,Scott H. Peters,@RepScottPeters
0.35415646100000003,MI-11,Haley Stevens,@RepHaleyStevens
0.360723908,KS-03,Sharice Davids,@RepDavids
0.363458675,NH-02,Ann M. Kuster,@RepAnnieKuster
0.370999043,CA-07,Ami Bera,@RepBera
0.372106667,CA-16,Jim Costa,@RepJimCosta
0.372239821,NY-04,Kathleen M. Rice,@RepKathleenRice
0.374766229,GA-02,Sanford D. Bishop,@SanfordBishop
0.375308473,TX-07,Lizzie Fletcher,@RepFletcher
0.375392216,PA-06,Chrissy Houlahan,@RepHoulahan
0.382228055,MI-08,Elissa Slotkin,@RepSlotkin
0.385056464,NV-03,Susie Lee,@RepSusieLee
0.388907355,MD-02,C. A. Dutch Ruppersberger,@Call_Me_Dutch
0.39349515,PA-17,Conor Lamb,@RepConorLamb
0.393820665,IL-03,Daniel Lipinski,@RepLipinski
0.394523061,MN-02,Angie Craig,@RepAngieCraig
0.39746605799999996,NY-19,Antonio Delagado,@repdelgado
0.39851825,AZ-09,Greg Stanton,@RepGregStanton
0.399836966,MI-03,Justin Amash,@justinamash
0.40318817,NJ-03,Andy Kim,@RepAndyKimNJ
0.403531259,WA-06,Derek Kilmer,@RepDerekKilmer
0.40477184200000005,NJ-11,Mikie Sherrill,@RepSherrill
0.406411829,FL-07,Stephanie N. Murphy,@RepStephMurphy
